id,featured,format_name,lang,verified,views,shares,likes
653,0,140,en,Not Verified,1,1,1
654,1,bubble,en,Verified,4,1,324
655,0,poem,en,Not Verified,1,2,3
656,0,musing,en,Not Verified,2,1,1
657,0,rant,en,Not Verified,2,1,5
658,0,140,en,Not Verified,6,1,4
659,1,poem,en,Not Verified,15,1,38
660,0,diary,en,Not Verified,2,3,2
661,0,musing,en,Not Verified,1,2,5
662,0,poem,en,Not Verified,9,1,4
663,0,rant,en,Not Verified,23,1,1
664,0,140,en,Not Verified,1,3,6
665,1,140,en,Not Verified,31,2,64
666,0,poem,en,Not Verified,1,1,2
667,1,open letter,en,Verified,3,2,77
668,1,musing,en,Verified,4,2,61
669,0,musing,en,Not Verified,16,2,3
670,1,bubble,en,Verified,8,6,138
671,1,bubble,en,Verified,11,2,629
672,1,bubble,en,Verified,9,2,344
673,1,bubble,en,Verified,32,2,391
674,1,poem,en,Not Verified,4,1,63
675,0,140,en,Not Verified,2,5,3
676,0,open letter,en,Not Verified,4,1,6
677,0,140,en,Not Verified,5,5,2
678,0,open letter,en,Not Verified,1,2,6
679,0,140,en,Not Verified,3,2,2
680,0,open letter,en,Not Verified,1,5,3
681,0,musing,en,Not Verified,2,1,1
682,0,poem,en,Not Verified,1,2,2
683,0,poem,en,Not Verified,1,3,4
684,0,140,en,Not Verified,21,2,11
685,0,poem,en,Not Verified,1,9,2
686,0,poem,en,Not Verified,1,2,2
687,0,140,en,Not Verified,1,2,5
688,0,thought,en,Verified,3,9,19
689,0,musing,en,Not Verified,1,1,1
690,1,musing,en,Not Verified,4,2,99
691,0,musing,en,Not Verified,5,1,2
692,0,140,en,Not Verified,3,2,6
693,0,thought,en,Not Verified,1,1,1
694,0,musing,en,Not Verified,3,1,2
695,0,140,en,Not Verified,3,2,1
696,0,140,en,Not Verified,1,2,4
697,0,poem,en,Not Verified,2,1,1
698,0,poem,en,Not Verified,15,1,1
699,0,thought,en,Not Verified,10,1,1
